FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
120,MANCHESTER SQUARE, ,18622.4685377,21250865.4565,MANCHESTER SQUARE,26,304.59,0,0,2020/06/03,2877470.3515625,6854.84899980013
121,VERMONT VISTA, ,30925.3989435,51077275.6077,VERMONT VISTA,374,908.08,6,14.57,2020/06/03,6913927.03515625,11383.7556990319
122,GREEN MEADOWS, ,23931.6689816,34117649.2309,GREEN MEADOWS,193,897.47,4,18.6,2020/06/03,4617890.578125,8806.6669728253
123,GRAMERCY PLACE, ,26306.7455158,31593783.1129,GRAMERCY PLACE,74,687.48,2,18.58,2020/06/03,4276335.1953125,9682.67830737259
124,WATTS,yes,35531.7880924,56253062.7208,WATTS,336,787.36,8,18.75,2020/06/03,7612083.48046875,13071.3925594521
125,FIGUEROA PARK SQUARE, ,19131.8089662,18891834.8279,FIGUEROA PARK SQUARE,40,458.66,0,0,2020/06/03,2555966.3125,7043.98819567208
126,CENTURY PALMS/COVE, ,31249.864195,58653988.875,CENTURY PALMS/COVE,321,950.66,2,5.92,2020/06/03,7935577.6484375,11491.0711372773
127,HARBOR GATEWAY,yes,114051.615367,140485563.013,HARBOR GATEWAY,154,353.21,5,11.47,2020/06/03,18977018.8632813,41974.8699455594
128,WILMINGTON,yes,125282.464126,212113189.938,WILMINGTON,296,524.01,3,5.31,2020/06/03,28596729.328125,46028.6032355151
129,HARBOR CITY,yes,70151.4724096,141800340.203,HARBOR CITY,106,364.64,4,13.76,2020/06/03,19115385.3554688,25771.1483104959
130,LITTLE BANGLADESH,yes,15828.7081789,13915649.7771,LITTLE BANGLADESH,147,518.65,4,14.11,2020/06/03,1888617.0625,5826.91952789859
131,VALLEY GLEN,yes,31796.9271206,63082497.4344,VALLEY GLEN,138,459.75,6,19.99,2020/06/03,8585677.09765625,11730.5239707226
132,RESEDA RANCH,yes,18708.7315689,14513752.6926,RESEDA RANCH,30,647.11,0,0,2020/06/03,1976855.6171875,6902.33896757667
133,HARBOR PINES,yes,10876.8104413,6269908.06545,HARBOR PINES,9,373.6,0,0,2020/06/03,845258.8671875,3991.75024523689
134,SYCAMORE SQUARE,yes,6644.15195776,2623157.81391,SYCAMORE SQUARE,1,154.56,0,0,2020/06/03,355971.84765625,2447.86536517227
135,BROOKSIDE,yes,10335.5434463,5858064.39628,BROOKSIDE,0,0,0,0,2020/06/03,794948.15234375,3805.23801237291
136,VIEW HEIGHTS,Yes,9976.48640597,6366350.33974,VIEW HEIGHTS,10,270.71,2,54.14,2020/06/03,862412.26953125,3672.72757862406
